Year,Area,avg_temp,average_rain_fall_mm_per_year,Domain,Element,Item,Unit,Value
1985,Afghanistan,15.52,327,Crops,Yield,Maize,hg/ha,16652.0
1985,Afghanistan,15.52,327,Crops,Yield,Potatoes,hg/ha,140909.0
1985,Afghanistan,15.52,327,Crops,Yield,"Rice, paddy",hg/ha,22482.0
1985,Afghanistan,15.52,327,Crops,Yield,Wheat,hg/ha,12277.0
1986,Afghanistan,14.71,327,Crops,Yield,Maize,hg/ha,16875.0
1986,Afghanistan,14.71,327,Crops,Yield,Potatoes,hg/ha,158667.0
1986,Afghanistan,14.71,327,Crops,Yield,"Rice, paddy",hg/ha,22400.0
1986,Afghanistan,14.71,327,Crops,Yield,Wheat,hg/ha,11890.0
1987,Afghanistan,15.46,327,Crops,Yield,Maize,hg/ha,17020.0
1987,Afghanistan,15.46,327,Crops,Yield,Potatoes,hg/ha,155000.0
1987,Afghanistan,15.46,327,Crops,Yield,"Rice, paddy",hg/ha,20000.0
1987,Afghanistan,15.46,327,Crops,Yield,Wheat,hg/ha,12849.0
1989,Afghanistan,14.46,327,Crops,Yield,Maize,hg/ha,16963.0
1989,Afghanistan,14.46,327,Crops,Yield,Potatoes,hg/ha,152632.0
1989,Afghanistan,14.46,327,Crops,Yield,"Rice, paddy",hg/ha,18824.0
1989,Afghanistan,14.46,327,Crops,Yield,Wheat,hg/ha,11180.0
1990,Afghanistan,15.45,327,Crops,Yield,Maize,hg/ha,17582.0
1990,Afghanistan,15.45,327,Crops,Yield,Potatoes,hg/ha,168421.0
1990,Afghanistan,15.45,327,Crops,Yield,"Rice, paddy",hg/ha,19029.0
1990,Afghanistan,15.45,327,Crops,Yield,Wheat,hg/ha,10510.0
1991,Afghanistan,14.57,327,Crops,Yield,Maize,hg/ha,16800.0
1991,Afghanistan,14.57,327,Crops,Yield,Potatoes,hg/ha,166418.0
1991,Afghanistan,14.57,327,Crops,Yield,"Rice, paddy",hg/ha,19364.0
1991,Afghanistan,14.57,327,Crops,Yield,Wheat,hg/ha,10213.0
1992,Afghanistan,14.35,327,Crops,Yield,Maize,hg/ha,15000.0
1992,Afghanistan,14.35,327,Crops,Yield,Potatoes,hg/ha,166667.0
1992,Afghanistan,14.35,327,Crops,Yield,"Rice, paddy",hg/ha,17143.0
1992,Afghanistan,14.35,327,Crops,Yield,Wheat,hg/ha,10313.0
1993,Afghanistan,14.96,327,Crops,Yield,Maize,hg/ha,16786.0
1993,Afghanistan,14.96,327,Crops,Yield,Potatoes,hg/ha,166912.0
1993,Afghanistan,14.96,327,Crops,Yield,"Rice, paddy",hg/ha,17143.0
1993,Afghanistan,14.96,327,Crops,Yield,Wheat,hg/ha,10211.0
1994,Afghanistan,14.94,327,Crops,Yield,Maize,hg/ha,16667.0
1994,Afghanistan,14.94,327,Crops,Yield,Potatoes,hg/ha,165942.0
1994,Afghanistan,14.94,327,Crops,Yield,"Rice, paddy",hg/ha,19000.0
1994,Afghanistan,14.94,327,Crops,Yield,Wheat,hg/ha,10250.0
1995,Afghanistan,15.04,327,Crops,Yield,Maize,hg/ha,16563.0
1995,Afghanistan,15.04,327,Crops,Yield,Potatoes,hg/ha,166187.0
1995,Afghanistan,15.04,327,Crops,Yield,"Rice, paddy",hg/ha,22941.0
1995,Afghanistan,15.04,327,Crops,Yield,Wheat,hg/ha,10890.0
1996,Afghanistan,14.87,327,Crops,Yield,Maize,hg/ha,16364.0
1996,Afghanistan,14.87,327,Crops,Yield,Potatoes,hg/ha,166429.0
1996,Afghanistan,14.87,327,Crops,Yield,"Rice, paddy",hg/ha,19429.0
1996,Afghanistan,14.87,327,Crops,Yield,Wheat,hg/ha,11220.0
1997,Afghanistan,14.77,327,Crops,Yield,Maize,hg/ha,15000.0
1997,Afghanistan,14.77,327,Crops,Yield,Potatoes,hg/ha,167857.0
1997,Afghanistan,14.77,327,Crops,Yield,"Rice, paddy",hg/ha,22222.0
1997,Afghanistan,14.77,327,Crops,Yield,Wheat,hg/ha,12764.0
1998,Afghanistan,15.14,327,Crops,Yield,Maize,hg/ha,16500.0
1998,Afghanistan,15.14,327,Crops,Yield,Potatoes,hg/ha,167857.0
1998,Afghanistan,15.14,327,Crops,Yield,"Rice, paddy",hg/ha,25000.0
1998,Afghanistan,15.14,327,Crops,Yield,Wheat,hg/ha,12964.0
1999,Afghanistan,15.89,327,Crops,Yield,Maize,hg/ha,15000.0
1999,Afghanistan,15.89,327,Crops,Yield,Potatoes,hg/ha,167857.0
1999,Afghanistan,15.89,327,Crops,Yield,"Rice, paddy",hg/ha,20000.0
1999,Afghanistan,15.89,327,Crops,Yield,Wheat,hg/ha,12329.0
2000,Afghanistan,15.82,327,Crops,Yield,Maize,hg/ha,11979.0
2000,Afghanistan,15.82,327,Crops,Yield,Potatoes,hg/ha,167857.0
2000,Afghanistan,15.82,327,Crops,Yield,"Rice, paddy",hg/ha,20000.0
2000,Afghanistan,15.82,327,Crops,Yield,Wheat,hg/ha,7240.0
2001,Afghanistan,15.85,327,Crops,Yield,Maize,hg/ha,20000.0
2001,Afghanistan,15.85,327,Crops,Yield,Potatoes,hg/ha,167857.0
2001,Afghanistan,15.85,327,Crops,Yield,"Rice, paddy",hg/ha,20000.0
2001,Afghanistan,15.85,327,Crops,Yield,Wheat,hg/ha,8977.0
2002,Afghanistan,15.71,327,Crops,Yield,Maize,hg/ha,29800.0
2002,Afghanistan,15.71,327,Crops,Yield,Potatoes,hg/ha,164286.0
2002,Afghanistan,15.71,327,Crops,Yield,"Rice, paddy",hg/ha,28741.0
2002,Afghanistan,15.71,327,Crops,Yield,Wheat,hg/ha,15419.0
2004,Afghanistan,16.13,327,Crops,Yield,Maize,hg/ha,16000.0
2004,Afghanistan,16.13,327,Crops,Yield,Potatoes,hg/ha,176471.0
2004,Afghanistan,16.13,327,Crops,Yield,"Rice, paddy",hg/ha,23744.0
2004,Afghanistan,16.13,327,Crops,Yield,Wheat,hg/ha,12659.0
2005,Afghanistan,14.85,327,Crops,Yield,Maize,hg/ha,12069.0
2005,Afghanistan,14.85,327,Crops,Yield,Potatoes,hg/ha,150000.0
2005,Afghanistan,14.85,327,Crops,Yield,"Rice, paddy",hg/ha,30313.0
2005,Afghanistan,14.85,327,Crops,Yield,Wheat,hg/ha,18215.0
2006,Afghanistan,15.8,327,Crops,Yield,Maize,hg/ha,26204.0
2006,Afghanistan,15.8,327,Crops,Yield,Potatoes,hg/ha,150000.0
2006,Afghanistan,15.8,327,Crops,Yield,"Rice, paddy",hg/ha,33750.0
2006,Afghanistan,15.8,327,Crops,Yield,Wheat,hg/ha,13760.0
2007,Afghanistan,15.52,327,Crops,Yield,Maize,hg/ha,26277.0
2007,Afghanistan,15.52,327,Crops,Yield,Potatoes,hg/ha,150400.0
2007,Afghanistan,15.52,327,Crops,Yield,"Rice, paddy",hg/ha,32471.0
2007,Afghanistan,15.52,327,Crops,Yield,Wheat,hg/ha,18183.0
2008,Afghanistan,15.48,327,Crops,Yield,Maize,hg/ha,26277.0
2008,Afghanistan,15.48,327,Crops,Yield,Potatoes,hg/ha,140000.0
2008,Afghanistan,15.48,327,Crops,Yield,"Rice, paddy",hg/ha,32211.0
2008,Afghanistan,15.48,327,Crops,Yield,Wheat,hg/ha,12263.0
2009,Afghanistan,15.09,327,Crops,Yield,Maize,hg/ha,21429.0
2009,Afghanistan,15.09,327,Crops,Yield,Potatoes,hg/ha,140000.0
2009,Afghanistan,15.09,327,Crops,Yield,"Rice, paddy",hg/ha,32250.0
2009,Afghanistan,15.09,327,Crops,Yield,Wheat,hg/ha,19666.0
2010,Afghanistan,15.68,327,Crops,Yield,Maize,hg/ha,16448.0
2010,Afghanistan,15.68,327,Crops,Yield,Potatoes,hg/ha,120000.0
2010,Afghanistan,15.68,327,Crops,Yield,"Rice, paddy",hg/ha,32308.0
2010,Afghanistan,15.68,327,Crops,Yield,Wheat,hg/ha,19252.0
2011,Afghanistan,15.81,327,Crops,Yield,Maize,hg/ha,16400.0
2011,Afghanistan,15.81,327,Crops,Yield,Potatoes,hg/ha,100000.0
2011,Afghanistan,15.81,327,Crops,Yield,"Rice, paddy",hg/ha,32000.0
2011,Afghanistan,15.81,327,Crops,Yield,Wheat,hg/ha,15179.0
2012,Afghanistan,14.51,327,Crops,Yield,Maize,hg/ha,21986.0
2012,Afghanistan,14.51,327,Crops,Yield,Potatoes,hg/ha,109524.0
2012,Afghanistan,14.51,327,Crops,Yield,"Rice, paddy",hg/ha,24390.0
2012,Afghanistan,14.51,327,Crops,Yield,Wheat,hg/ha,20104.0
2013,Afghanistan,16.21,327,Crops,Yield,Maize,hg/ha,21972.0
2013,Afghanistan,16.21,327,Crops,Yield,Potatoes,hg/ha,131960.0
2013,Afghanistan,16.21,327,Crops,Yield,"Rice, paddy",hg/ha,24980.0
2013,Afghanistan,16.21,327,Crops,Yield,Wheat,hg/ha,20248.0
1985,Albania,15.91,1485,Crops,Yield,Maize,hg/ha,35128.0
1985,Albania,15.91,1485,Crops,Yield,Potatoes,hg/ha,56667.0
1985,Albania,15.91,1485,Crops,Yield,"Rice, paddy",hg/ha,40000.0
1985,Albania,15.91,1485,Crops,Yield,Sorghum,hg/ha,12963.0
1985,Albania,15.91,1485,Crops,Yield,Soybeans,hg/ha,16000.0
1985,Albania,15.91,1485,Crops,Yield,Wheat,hg/ha,31406.0
1986,Albania,16.07,1485,Crops,Yield,Maize,hg/ha,45065.0
1986,Albania,16.07,1485,Crops,Yield,Potatoes,hg/ha,78571.0
1986,Albania,16.07,1485,Crops,Yield,"Rice, paddy",hg/ha,36667.0
1986,Albania,16.07,1485,Crops,Yield,Sorghum,hg/ha,12950.0
1986,Albania,16.07,1485,Crops,Yield,Soybeans,hg/ha,15000.0
1986,Albania,16.07,1485,Crops,Yield,Wheat,hg/ha,28945.0
1987,Albania,15.93,1485,Crops,Yield,Maize,hg/ha,38148.0
1987,Albania,15.93,1485,Crops,Yield,Potatoes,hg/ha,63571.0
1987,Albania,15.93,1485,Crops,Yield,"Rice, paddy",hg/ha,32121.0
1987,Albania,15.93,1485,Crops,Yield,Sorghum,hg/ha,12800.0
1987,Albania,15.93,1485,Crops,Yield,Soybeans,hg/ha,12000.0
1987,Albania,15.93,1485,Crops,Yield,Wheat,hg/ha,31031.0
1989,Albania,15.7,1485,Crops,Yield,Maize,hg/ha,47969.0
1989,Albania,15.7,1485,Crops,Yield,Potatoes,hg/ha,107778.0
1989,Albania,15.7,1485,Crops,Yield,"Rice, paddy",hg/ha,31296.0
1989,Albania,15.7,1485,Crops,Yield,Sorghum,hg/ha,12806.0
1989,Albania,15.7,1485,Crops,Yield,Soybeans,hg/ha,8571.0
1989,Albania,15.7,1485,Crops,Yield,Wheat,hg/ha,29302.0
1990,Albania,16.37,1485,Crops,Yield,Maize,hg/ha,36613.0
