Crop,Year,Yield_kg_per_ha
Barley,1984,5588.59
Barley,1985,4951.01
Barley,1986,5226.51
Barley,1987,5034.64
Barley,1988,4666.44
Barley,1989,4880.26
Barley,1990,5214.9
Barley,1991,5468.92
Barley,1992,5669.57
Barley,1993,5177.98
Barley,1994,5373.86
Barley,1995,5734.4
Barley,1996,6100.0
Barley,1997,5800.0
Barley,1998,5300.0
Barley,1999,5600.0
Barley,2000,5760.0
Barley,2001,5390.0
Barley,2002,5570.0
Barley,2003,5910.0
Barley,2004,5760.0
Barley,2005,5860.0
Barley,2006,5940.0
Barley,2007,5660.0
Barley,2008,5950.0
Barley,2009,5833.77
Barley,2010,5702.5
Barley,2011,5663.92
Barley,2012,5510.98
Barley,2013,5846.9
Barley,2014,6400.0
Barley,2015,6694.25
Barley,2016,5930.0
Barley,2017,6091.93
Barley,2018,5720.0
Barley,2019,6920.0
Barley,2020,5850.0
Barley,2021,6053.04
Barley,2022,6617.38
Barley,2023,6124.01
Barley,2024,5938.86
Cereals,1984,6585.31
Cereals,1985,5593.5
Cereals,1986,6079.69
Cereals,1987,5502.08
Cereals,1988,5411.14
Cereals,1989,5863.21
Cereals,1990,6170.65
Cereals,1991,6464.46
Cereals,1992,6323.09
Cereals,1993,6429.13
Cereals,1994,6558.26
Cereals,1995,6873.07
Cereals,1996,7320.7
Cereals,1997,6696.35
Cereals,1998,6661.28
Cereals,1999,7043.27
Cereals,2000,7164.98
Cereals,2001,6291.29
Cereals,2002,7077.1
Cereals,2003,7037.59
Cereals,2004,7038.06
Cereals,2005,7194.21
Cereals,2006,7275.97
Cereals,2007,6630.4
Cereals,2008,7416.2
Cereals,2009,7028.67
Cereals,2010,6951.4
Cereals,2011,6986.22
Cereals,2012,6211.13
Cereals,2013,6631.99
Cereals,2014,7696.71
Cereals,2015,7979.8
Cereals,2016,7012.95
Cereals,2017,7229.88
Cereals,2018,6788.88
Cereals,2019,7947.18
Cereals,2020,6241.19
Cereals,2021,6966.79
Cereals,2022,7644.33
Cereals,2023,7137.89
Cereals,2024,6555.59
Linseed,1993,750.0
Linseed,1994,1360.0
Linseed,1995,1350.0
Linseed,1996,1458.0
Linseed,1997,1650.0
Linseed,1998,1570.0
Linseed,1999,1550.0
Linseed,2000,1298.09
Linseed,2001,1250.0
Linseed,2002,1380.0
Linseed,2003,1530.0
Linseed,2004,1521.4
Linseed,2005,1589.69
Linseed,2006,1481.37
Linseed,2007,1402.0
Oats,1984,4915.66
Oats,1985,4615.95
Oats,1986,5192.74
Oats,1987,4582.22
Oats,1988,4566.67
Oats,1989,4453.3
Oats,1990,4968.42
Oats,1991,5052.39
Oats,1992,4997.21
Oats,1993,5210.51
Oats,1994,5502.56
Oats,1995,5517.43
Oats,1996,6100.0
Oats,1997,5800.0
Oats,1998,6000.0
Oats,1999,5900.0
Oats,2000,5880.0
Oats,2001,5490.0
Oats,2002,6030.0
Oats,2003,6160.0
Oats,2004,5800.0
Oats,2005,5840.0
Oats,2006,5990.0
Oats,2007,5500.0
Oats,2008,5800.0
Oats,2009,5767.44
Oats,2010,5524.19
Oats,2011,5623.85
Oats,2012,5139.34
Oats,2013,5458.0
Oats,2014,5975.0
Oats,2015,6090.0
Oats,2016,5790.0
Oats,2017,5431.73
Oats,2018,4970.0
Oats,2019,5930.0
Oats,2020,4910.0
Oats,2021,5615.0
Oats,2022,5721.59
Oats,2023,4970.06
Oats,2024,5417.58
Oilseed rape,1993,1374.12
Oilseed rape,1994,2131.52
Oilseed rape,1995,2405.95
Oilseed rape,1996,2893.62
Oilseed rape,1997,2999.23
Oilseed rape,1998,2670.0
Oilseed rape,1999,3168.02
Oilseed rape,2000,2761.78
Oilseed rape,2001,2483.89
Oilseed rape,2002,2948.82
Oilseed rape,2003,2713.61
Oilseed rape,2004,2468.22
Oilseed rape,2005,2546.99
Oilseed rape,2006,2852.12
Oilseed rape,2007,2606.1
Potatoes,2011,30441.43
Potatoes,2012,31499.27
Potatoes,2013,22373.1
Potatoes,2014,21497.48
Potatoes,2015,28381.11
Potatoes,2016,34038.56
Potatoes,2017,31666.63
Potatoes,2018,34191.66
Potatoes,2019,31973.18
Potatoes,2020,35929.65
Potatoes,2021,29828.1
Potatoes,2022,37193.35
Potatoes,2023,35885.2
Potatoes,2024,36089.58
Protein crops,1990,3410.0
Protein crops,1991,3240.0
Protein crops,1992,3450.0
Protein crops,1993,3750.0
Protein crops,1994,3040.0
Protein crops,1995,2690.0
Protein crops,1996,3170.0
Protein crops,1997,3800.0
Protein crops,1998,3410.0
Protein crops,1999,3500.0
