year,tmax_degC,tmin_degC,af_days,rain_mm,sun_hours
1853,12.82,5.12,6.0,55.35,
1854,14.08,5.3,4.08,53.62,
1855,12.83,5.16,6.46,56.6,
1856,13.78,6.0,4.33,58.3,
1857,14.77,6.82,3.71,62.29,
1858,13.99,5.85,4.83,55.01,
1859,14.54,6.58,3.96,66.57,
1860,12.29,5.53,4.3,73.07,
1861,13.78,6.38,3.71,66.97,
1862,13.61,6.63,2.71,69.81,
1863,14.4,6.48,2.17,60.22,
1864,13.62,5.56,4.5,50.89,
1865,14.87,6.87,3.12,73.6,
1866,13.77,6.43,2.75,72.1,
1867,13.21,5.9,4.72,67.51,
1868,14.84,6.74,2.61,72.69,
1869,13.91,6.36,3.0,69.64,
1870,13.71,5.56,5.31,52.51,
1871,13.46,5.92,3.81,59.92,
1872,13.99,6.61,2.06,85.49,
1873,13.15,5.85,3.02,69.75,
1874,13.14,5.62,4.04,73.1,
1875,12.9,5.9,3.52,75.55,
1876,13.07,6.0,3.75,78.13,
1877,12.71,5.53,3.04,85.45,
1878,12.81,6.06,4.4,66.41,
1879,10.81,4.57,6.02,69.38,
1880,12.74,5.5,4.58,68.59,
1881,11.96,4.84,5.38,65.71,
1882,12.66,5.78,2.45,77.51,
1883,12.54,5.48,3.24,69.96,
1884,13.16,5.84,2.1,63.98,
1885,12.05,4.73,4.24,66.75,
1886,12.04,4.91,5.68,78.57,
1887,12.31,4.6,6.04,55.24,
1888,11.64,4.78,5.69,69.08,
1889,12.45,5.41,4.18,61.61,
1890,12.52,5.27,4.36,62.07,105.67
1891,12.16,4.82,5.1,71.05,104.35
1892,11.72,4.25,6.86,61.92,107.1
1893,13.71,5.63,3.67,56.57,127.32
1894,12.69,5.48,3.08,72.61,107.78
1895,12.52,4.71,6.17,65.59,136.11
1896,12.96,5.65,3.11,68.99,121.63
1897,12.83,5.56,3.51,67.55,130.35
1898,13.53,6.02,2.67,69.77,121.7
1899,13.57,5.64,4.06,69.44,143.62
1900,12.94,5.69,3.15,76.37,120.95
1901,12.82,5.26,4.81,62.35,142.23
1902,12.25,5.3,3.67,60.29,112.99
1903,12.46,5.6,2.85,86.48,118.72
1904,12.53,5.48,3.74,66.16,126.2
1905,12.71,5.72,2.79,60.32,126.79
1906,13.04,5.56,4.04,64.52,139.83
1907,12.37,5.38,3.47,66.96,126.75
1908,12.69,5.69,3.7,64.27,120.19
1909,11.94,4.96,5.14,68.93,121.23
1910,12.3,5.62,3.35,72.31,114.31
1911,13.3,6.03,2.24,70.16,135.19
1912,12.31,5.66,2.49,87.88,93.24
1913,12.76,6.12,2.32,73.25,98.98
1914,12.77,5.76,2.51,73.32,124.52
1915,11.74,4.9,3.63,72.59,118.93
1916,11.82,5.37,3.46,80.08,107.45
1917,11.13,4.42,6.37,71.54,116.02
1918,12.02,5.13,3.22,79.87,120.55
1919,11.26,4.17,5.24,75.53,120.87
1920,12.13,5.58,2.19,78.72,104.36
1921,13.49,6.05,2.16,60.7,142.04
1922,11.42,4.77,3.8,71.85,120.8
1923,11.53,5.1,3.28,79.86,121.56
1924,11.82,5.52,3.88,78.85,115.44
1925,11.93,5.22,4.14,73.29,127.28
1926,12.36,5.74,2.81,73.27,117.8
1927,11.77,5.31,3.43,82.12,111.29
1928,12.22,5.43,2.62,83.62,126.07
1929,11.98,4.82,4.97,70.21,125.64
1930,11.88,5.47,3.76,82.01,110.63
1931,11.7,5.49,3.41,75.24,104.25
1932,12.16,5.8,2.62,73.24,106.06
1933,12.92,6.09,3.29,56.37,124.33
1934,13.02,6.28,2.08,69.45,119.19
1935,12.56,5.96,2.35,75.87,126.62
1936,12.24,5.74,3.12,70.1,114.62
1937,12.31,5.95,3.13,68.88,106.21
1938,12.95,6.4,1.52,74.48,113.35
1939,12.51,6.13,1.92,73.6,117.61
1940,12.17,5.32,3.95,68.14,119.79
1941,12.02,5.58,3.74,62.74,107.95
1942,12.15,5.44,4.26,68.84,117.05
1943,13.13,6.17,2.06,67.96,123.45
1944,12.46,5.88,2.71,71.06,109.15
1945,13.4,6.55,2.77,64.03,113.85
1946,12.47,5.84,3.17,74.31,116.5
1947,12.59,5.67,5.54,61.79,119.06
1948,13.08,6.18,2.43,71.8,121.86
1949,13.84,6.51,2.5,62.33,135.86
1950,12.51,5.83,3.59,74.92,120.82
1951,12.31,5.78,3.03,78.01,121.52
1952,12.28,5.61,4.36,64.11,121.24
1953,13.07,6.29,2.61,57.97,118.96
1954,12.18,5.8,3.22,80.03,106.22
1955,12.7,5.49,5.29,56.98,134.28
1956,12.12,5.44,4.52,66.99,116.45
1957,13.17,6.3,2.46,67.45,118.4
1958,12.45,5.88,4.16,75.19,107.51
1959,13.83,6.17,3.32,63.97,134.68
1960,12.73,5.85,3.53,83.95,117.11
1961,13.01,6.01,3.37,68.28,117.91
1962,11.75,4.85,4.96,62.36,118.49
1963,11.42,4.76,6.12,64.6,113.39
1964,12.45,5.6,3.92,57.87,111.61
1965,11.88,5.09,4.85,73.57,109.94
1966,12.23,5.67,3.5,77.66,107.01
1967,12.62,5.88,3.17,74.79,119.32
1968,12.23,5.56,4.88,68.89,107.44
1969,12.32,5.43,5.27,67.19,115.16
1970,12.51,5.61,4.74,69.87,117.44
1971,12.94,5.93,3.29,60.87,116.92
1972,12.29,5.5,2.8,63.71,108.8
1973,12.75,5.65,4.19,60.84,120.2
1974,12.49,5.76,1.96,75.76,117.54
1975,13.08,5.9,3.23,59.97,128.72
1976,13.05,5.96,3.92,62.26,124.87
1977,12.3,5.72,3.28,71.97,119.1
1978,12.26,5.73,4.3,69.26,106.8
1979,11.76,5.08,5.59,78.07,114.59
1980,12.37,5.81,3.64,75.66,111.82
1981,12.27,5.57,4.52,77.06,108.6
1982,12.99,6.0,3.56,78.65,118.54
1983,12.95,6.26,3.42,69.67,111.64
1984,12.93,5.87,3.32,72.27,123.46
1985,11.9,5.27,5.33,71.83,114.11
1986,11.9,5.12,4.45,77.83,120.14
1987,12.13,5.56,4.63,71.53,111.77
1988,12.84,6.26,2.67,75.52,116.96
1989,13.79,6.44,2.59,68.41,136.9
1990,13.79,6.69,1.93,75.86,132.75
1991,12.76,5.96,3.91,66.71,114.98
1992,12.96,6.14,3.31,78.64,113.73
1993,12.48,5.91,3.16,78.6,108.69
1994,13.07,6.41,2.5,80.43,120.75
1995,13.76,6.45,3.67,68.55,140.13
1996,12.41,5.66,4.59,62.25,124.08
1997,13.79,6.73,2.91,69.1,127.26
1998,13.28,6.74,2.59,84.2,113.41
1999,13.62,6.79,2.44,82.89,126.7
2000,13.25,6.55,2.45,92.34,121.05
2001,13.07,6.18,4.27,70.92,125.26
2002,13.56,6.94,1.83,87.96,117.16
2003,14.02,6.47,3.7,59.21,140.13
2004,13.58,6.9,2.69,78.5,120.91
2005,13.61,6.79,3.04,70.68,123.59
2006,13.8,6.93,3.0,76.25,128.46
2007,13.82,6.87,2.31,78.64,126.68
2008,13.3,6.43,3.15,85.38,122.29
2009,13.4,6.48,3.53,81.47,127.25
2010,12.4,5.23,6.03,64.83,126.74
2011,13.89,6.84,2.34,71.71,122.56
2012,13.0,6.14,3.18,88.77,116.91
2013,12.99,6.09,4.09,70.91,121.65
2014,14.16,7.17,1.73,86.08,124.49
2015,13.63,6.49,2.39,81.03,122.92
2016,13.65,6.66,2.94,73.41,119.32
2017,13.84,6.98,2.73,71.48,117.92
2018,13.95,6.69,3.09,71.78,133.1
2019,13.87,6.75,2.66,82.08,123.83
2020,14.12,6.94,1.88,86.07,128.72
2021,13.65,6.66,3.62,73.31,116.28
2022,14.67,7.22,2.56,71.22,134.35
2023,14.39,7.4,2.55,88.79,120.21
2024,13.99,7.36,1.9,82.84,106.2
2025,14.7,7.28,2.63,68.38,139.1
2026,9.24,3.54,4.36,93.67,77.27
